TIME	U1cal
0.000	7.684
0.001	7.376
0.001	7.751
0.002	7.646
0.002	7.440
0.003	7.589
0.003	7.394
0.004	6.508
0.004	7.107
0.005	6.492
0.005	7.313
0.006	7.313
0.006	7.313
0.007	7.204
0.007	7.459
0.008	7.394
0.008	6.985
0.009	7.367
0.009	7.515
0.010	7.646
0.010	7.385
0.011	7.732
0.011	7.936
0.012	7.285
0.012	7.422
0.013	7.376
0.013	7.440
0.014	7.249
0.014	6.797
0.015	7.011
0.015	7.240
0.016	7.732
0.016	7.169
0.016	7.231
0.017	7.258
0.018	7.267
0.018	7.349
0.019	7.331
0.019	7.231
0.020	7.178
0.020	7.571
0.021	7.487
0.021	7.848
0.022	7.276
0.022	7.349
0.023	6.713
0.023	7.367
0.024	6.746
0.024	7.331
0.025	7.107
0.025	7.440
0.026	7.285
0.026	7.404
0.027	7.450
0.027	7.142
0.028	7.294
0.028	7.267
0.029	7.267
0.029	8.258
0.030	7.385
0.030	7.848
0.031	7.294
0.031	7.276
0.032	8.015
0.032	7.543
0.033	7.213
0.033	7.376
0.034	7.037
0.034	8.146
0.035	7.349
0.035	7.703
0.036	7.098
0.036	6.721
0.037	6.899
0.037	7.742
0.038	7.313
0.038	7.285
0.039	7.349
0.039	8.626
0.040	8.351
0.040	7.276
0.041	7.258
0.041	7.267
0.042	7.722
0.042	7.376
0.043	7.313
0.043	7.450
0.044	6.856
0.044	7.313
0.045	7.321
0.045	6.865
0.046	6.968
0.046	7.107
0.047	8.105
0.047	7.459
0.048	7.349
0.048	7.358
0.049	7.627
0.049	7.656
0.050	7.487
0.050	7.267
0.051	7.487
0.051	7.431
0.052	7.178
0.052	7.656
0.053	7.487
0.053	7.258
0.054	7.169
0.054	7.240
0.055	7.187
0.055	7.294
0.056	7.187
0.056	7.204
0.057	7.431
0.057	7.637
0.058	7.580
0.058	7.037
0.059	6.933
0.059	7.505
0.060	7.285
0.060	7.285
0.061	7.204
0.061	8.045
0.062	7.294
0.062	7.178
0.063	7.331
0.063	7.258
0.064	7.142
0.064	7.285
0.065	7.169
0.065	7.285
0.066	7.477
0.066	7.267
0.067	7.404
0.067	7.580
0.068	7.580
0.068	7.178
0.069	7.125
0.069	7.665
0.070	6.993
0.070	8.207
0.071	7.515
0.071	7.331
0.072	7.125
0.072	7.599
0.073	6.933
0.073	7.240
0.073	7.431
0.074	7.413
0.075	7.213
0.075	7.258
0.076	7.404
0.076	7.917
0.077	7.285
0.077	7.376
0.078	7.222
0.078	7.231
0.079	7.204
0.079	7.116
0.080	7.116
0.080	7.761
0.081	7.966
0.081	7.376
0.082	7.187
0.082	7.081
0.083	7.054
0.083	7.422
0.084	7.285
0.084	7.331
0.085	7.321
0.085	6.933
0.086	7.046
0.086	7.204
0.087	7.072
0.087	7.258
0.088	7.037
0.088	7.349
0.089	7.358
0.089	7.169
0.090	7.358
0.090	7.394
0.091	7.561
0.091	7.276
0.092	7.459
0.092	7.331
0.093	7.887
0.093	7.276
0.094	7.440
0.094	7.487
0.095	7.204
0.095	7.321
0.096	7.285
0.096	6.907
0.097	7.285
0.097	7.422
0.098	7.213
0.098	7.267
0.099	7.142
0.099	7.313
0.100	7.037
0.100	6.907
0.101	7.580
0.101	7.213
0.102	7.249
0.102	7.222
0.103	7.294
0.103	7.376
0.104	7.178
0.104	7.222
0.105	7.187
0.105	7.089
0.106	7.213
0.106	7.722
0.107	7.358
0.107	7.081
0.108	7.116
0.108	7.011
0.109	7.072
0.109	7.125
0.110	7.321
0.110	7.515
0.111	7.240
0.111	7.303
0.112	7.195
0.112	7.169
0.113	7.751
0.113	7.331
0.114	7.313
0.114	7.431
0.115	7.019
0.115	7.187
0.116	7.195
0.116	7.204
0.117	6.933
0.117	7.125
0.118	7.222
0.118	7.349
0.119	7.142
0.119	7.313
0.120	7.019
0.120	7.063
0.121	7.413
0.121	7.321
0.122	7.240
0.122	6.524
0.123	7.258
0.123	7.533
0.124	6.738
0.124	7.142
0.125	7.404
0.125	7.385
0.126	7.313
0.126	7.450
0.127	8.045
0.127	7.098
0.128	7.321
0.128	7.276
0.128	7.249
0.129	6.993
0.130	7.376
0.130	7.267
0.131	7.222
0.131	7.303
0.132	7.829
0.132	7.195
0.133	7.037
0.133	6.822
0.134	7.313
0.134	7.276
0.135	7.543
0.135	7.349
