U	E1	T(C)	P(kPa)	E1corr	U1calc
2.000	1.602	23.400	101.325	1.602	2.134
2.273	1.607	23.500	101.325	1.607	2.233
2.583	1.620	23.500	101.325	1.620	2.488
2.936	1.637	23.500	101.325	1.637	2.814
3.337	1.665	23.500	101.325	1.665	3.341
3.793	1.691	23.500	101.325	1.691	3.832
4.310	1.718	23.500	101.325	1.718	4.356
4.899	1.748	23.500	101.325	1.748	4.970
5.568	1.777	23.500	101.325	1.777	5.614
6.328	1.806	23.400	101.325	1.806	6.324
7.192	1.836	23.400	101.325	1.836	7.144
8.174	1.868	23.500	101.325	1.868	8.136
9.290	1.898	23.500	101.325	1.898	9.196
10.560	1.931	23.500	101.325	1.931	10.528
12.000	1.965	23.500	101.325	1.965	12.109
