TIME	U1cal
0.000	7.222
0.001	7.331
0.001	7.376
0.002	7.187
0.002	7.089
0.003	7.204
0.003	7.160
0.004	7.321
0.004	6.746
0.005	7.142
0.005	7.276
0.006	7.178
0.006	7.089
0.007	7.376
0.007	7.258
0.008	7.231
0.008	7.037
0.009	6.968
0.009	7.151
0.010	6.985
0.010	7.231
0.011	7.294
0.011	6.856
0.012	7.404
0.012	7.240
0.013	7.213
0.013	7.187
0.014	7.732
0.014	7.468
0.015	7.178
0.015	7.276
0.016	6.565
0.016	6.805
0.016	7.543
0.017	6.968
0.018	6.865
0.018	7.187
0.019	7.081
0.019	7.054
0.020	7.694
0.020	8.045
0.021	7.231
0.021	7.618
0.022	7.267
0.022	7.054
0.023	7.222
0.023	6.882
0.024	7.285
0.024	7.996
0.025	7.125
0.025	7.349
0.026	7.178
0.026	7.313
0.027	7.222
0.027	7.313
0.028	7.367
0.028	7.169
0.029	7.313
0.029	7.222
0.030	7.151
0.030	7.054
0.031	7.187
0.031	7.204
0.032	7.081
0.032	7.072
0.033	7.178
0.033	7.204
0.034	7.142
0.034	7.151
0.035	6.444
0.035	7.037
0.036	7.187
0.036	7.267
0.037	6.882
0.037	7.589
0.038	7.178
0.038	7.089
0.039	7.142
0.039	6.713
0.040	7.790
0.040	7.313
0.041	7.240
0.041	7.028
0.042	7.732
0.042	7.098
0.043	7.142
0.043	7.285
0.044	7.331
0.044	7.116
0.045	6.705
0.045	7.195
0.046	7.063
0.046	7.002
0.047	6.831
0.047	7.125
0.048	7.089
0.048	6.814
0.049	7.116
0.049	7.081
0.050	7.089
0.050	7.125
0.051	7.571
0.051	6.772
0.052	7.240
0.052	7.089
0.053	7.142
0.053	6.959
0.054	7.543
0.054	7.838
0.055	7.151
0.055	7.440
0.056	7.072
0.056	7.125
0.057	7.321
0.057	7.394
0.058	6.848
0.058	7.321
0.059	7.037
0.059	7.267
0.060	7.037
0.060	7.169
0.061	6.797
0.061	7.656
0.062	6.738
0.062	6.959
0.063	7.046
0.063	7.231
0.064	7.240
0.064	7.151
0.065	7.178
0.065	7.178
0.066	7.107
0.066	6.772
0.067	7.072
0.067	7.178
0.068	7.313
0.068	7.303
0.069	7.665
0.069	7.258
0.070	7.618
0.070	7.169
0.071	7.046
0.071	7.089
0.072	7.178
0.072	7.349
0.073	7.160
0.073	7.125
0.073	7.054
0.074	6.372
0.075	7.063
0.075	7.258
0.076	7.589
0.076	7.037
0.077	7.054
0.077	7.303
0.078	6.460
0.078	7.037
0.079	7.231
0.079	7.160
0.080	6.985
0.080	7.125
0.081	7.285
0.081	7.107
0.082	7.037
0.082	7.385
0.083	7.142
0.083	7.187
0.084	7.089
0.084	6.647
0.085	7.160
0.085	7.258
0.086	7.125
0.086	7.313
0.087	6.899
0.087	7.072
0.088	7.533
0.088	6.985
0.089	7.294
0.089	7.011
0.090	7.089
0.090	7.240
0.091	7.116
0.091	7.081
0.092	7.002
0.092	7.151
0.093	7.028
0.093	7.054
0.094	6.993
0.094	7.422
0.095	7.019
0.095	7.231
0.096	7.222
0.096	6.476
0.097	7.169
0.097	7.349
0.098	7.098
0.098	7.966
0.099	6.968
0.099	6.814
0.100	7.072
0.100	7.877
0.101	8.015
0.101	7.072
0.102	7.098
0.102	7.072
0.103	7.107
0.103	7.116
0.104	7.684
0.104	7.142
0.105	6.696
0.105	7.151
0.106	7.169
0.106	7.187
0.107	7.037
0.107	7.169
0.108	7.524
0.108	7.178
0.109	7.116
0.109	7.267
0.110	6.865
0.110	7.231
0.111	7.002
0.111	6.933
0.112	7.178
0.112	7.072
0.113	6.993
0.113	6.630
0.114	6.959
0.114	6.856
0.115	7.046
0.115	7.107
0.116	7.089
0.116	7.089
0.117	7.258
0.117	7.178
0.118	7.063
0.118	7.028
0.119	7.303
0.119	7.294
0.120	6.713
0.120	7.240
0.121	7.072
0.121	6.942
0.122	7.019
0.122	7.303
0.123	7.142
0.123	7.011
0.124	7.222
0.124	7.125
0.125	7.019
0.125	7.240
0.126	7.098
0.126	7.267
0.127	7.385
0.127	7.751
0.128	7.037
0.128	7.028
0.128	7.125
0.129	7.116
0.130	7.204
0.130	7.637
0.131	7.019
0.131	7.459
0.132	6.772
0.132	7.125
0.133	7.019
0.133	7.151
0.134	7.019
0.134	7.054
0.135	7.151
0.135	7.107
0.136	7.169
0.136	7.213
0.137	7.487
0.137	7.187
0.138	7.054
0.138	6.976
0.139	7.431
0.139	7.116
0.140	6.452
0.140	7.054
0.141	6.721
0.141	6.933
0.142	6.581
0.142	7.178
0.143	7.204
0.143	6.942
0.144	7.524
0.144	7.019
0.145	7.142
0.145	6.540
0.146	7.107
0.146	7.195
0.147	7.089
0.147	6.713
0.148	7.204
0.148	7.098
0.149	7.160
0.149	7.160
0.150	7.195
0.150	7.187
0.151	6.696
0.151	6.856
0.152	7.116
0.152	7.063
0.153	7.107
0.153	7.098
0.154	7.440
0.154	7.037
0.155	6.968
0.155	7.331
0.156	7.178
0.156	6.873
0.157	7.019
0.157	7.178
0.158	7.125
0.158	7.107
0.159	7.107
0.159	7.187
0.160	7.046
0.160	7.142
0.161	6.882
0.161	7.524
0.162	7.169
0.162	7.178
0.163	7.081
0.163	7.151
0.164	7.231
0.164	7.054
0.165	7.376
0.165	7.046
0.166	7.081
0.166	7.151
0.167	7.054
0.167	6.959
0.168	7.125
0.168	7.002
0.169	7.349
0.169	7.195
0.170	7.313
0.170	7.496
0.171	7.002
0.171	7.002
0.172	7.116
0.172	7.019
0.173	7.019
0.173	7.213
0.174	7.054
0.174	7.151
0.175	6.831
0.175	7.089
0.176	6.993
0.176	6.959
0.177	7.468
0.177	7.116
0.178	7.151
0.178	8.025
0.179	7.142
0.179	7.285
0.180	6.755
0.180	7.098
0.181	7.116
0.181	7.072
0.182	7.107
0.182	6.907
0.183	7.089
0.183	7.116
0.184	7.276
0.184	7.533
0.185	7.116
0.185	7.098
0.186	7.515
0.186	7.063
0.187	7.204
0.187	7.028
0.188	7.331
0.188	7.213
0.189	7.160
0.189	6.856
0.190	7.285
0.190	7.231
0.191	6.614
0.191	7.313
0.192	7.358
0.192	7.267
0.193	7.267
0.193	7.142
0.194	7.169
0.194	7.081
0.195	6.516
0.195	7.358
0.196	6.856
0.196	6.614
0.197	7.116
0.197	6.873
0.198	7.107
0.198	7.098
0.199	7.072
0.199	7.125
0.200	7.385
0.200	7.608
0.201	7.431
0.201	6.873
0.202	6.780
0.202	6.959
0.203	7.125
0.203	7.267
0.204	7.098
0.204	7.046
0.205	7.249
0.205	6.890
0.206	6.993
0.206	7.107
0.207	7.107
0.207	7.028
0.208	7.107
0.208	6.968
0.209	7.142
0.209	7.222
